This file was created by CMPT_ME_BEME_RETS_DAILY using the 202003 CRSP database.,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,
,,,,
,Mkt-RF,SMB,HML,RF
20170224,0.15,0.04,-0.92,0.002
20170227,0.22,0.82,-0.34,0.002
20170228,-0.42,-1.37,0.2,0.002
20170301,1.47,0.43,0.72,0.001
20170302,-0.7,-0.54,-0.89,0.001
20170303,0.09,-0.22,0.15,0.001
20170306,-0.38,-0.35,-0.1,0.001
20170307,-0.36,-0.29,-0.05,0.001
20170308,-0.19,-0.11,-0.82,0.001
20170309,0.04,-0.46,-0.28,0.001
20170310,0.34,0.09,-0.39,0.001
20170313,0.13,0.33,-0.02,0.001
20170314,-0.36,-0.23,0.02,0.001
20170315,0.86,0.73,-0.41,0.001
20170316,-0.06,0.45,0.24,0.001
20170317,-0.08,0.62,-0.26,0.001
20170320,-0.25,-0.07,-0.75,0.001
20170321,-1.48,-1.34,-0.69,0.001
20170322,0.16,-0.3,-0.54,0.001
20170323,-0.03,0.69,0.46,0.001
20170324,-0.05,0.13,-0.24,0.001
20170327,-0.05,0.56,-0.52,0.001
20170328,0.72,-0.15,0.71,0.001
20170329,0.18,0.4,-0.07,0.001
20170330,0.36,0.33,0.93,0.001
20170331,-0.16,0.58,-0.3,0.001
20170403,-0.28,-1.1,-0.11,0.003
20170404,0.05,-0.22,0.31,0.003
20170405,-0.44,-0.79,-0.3,0.003
20170406,0.32,0.69,0.49,0.003
20170407,-0.08,0.13,-0.26,0.003
20170410,0.08,0.1,0.1,0.003
20170411,-0.05,0.8,0.25,0.003
20170412,-0.49,-0.84,-0.52,0.003
20170413,-0.75,-0.24,-0.79,0.003
20170417,0.89,0.24,0.22,0.003
20170418,-0.25,0.35,-0.16,0.003
20170419,-0.08,0.59,-0.38,0.003
20170420,0.83,0.51,0.27,0.003
20170421,-0.28,0.1,-0.13,0.003
20170424,1.18,0.17,0.52,0.003
20170425,0.66,0.36,-0.05,0.003
20170426,0.04,0.71,0.32,0.003
20170427,0.05,-0.14,-0.96,0.003
20170428,-0.3,-0.67,-0.59,0.003
20170501,0.21,0.27,-0.13,0.003
20170502,0.03,-0.46,-0.21,0.003
20170503,-0.19,-0.54,0.2,0.003
20170504,0.02,-0.07,-0.35,0.003
20170505,0.46,0.07,0.04,0.003
20170508,-0.04,-0.25,0.29,0.003
20170509,-0.05,0.49,-0.79,0.003
20170510,0.21,0.2,0.01,0.003
20170511,-0.26,-0.36,-0.14,0.003
20170512,-0.18,-0.29,-0.62,0.003
20170515,0.53,0.26,0.19,0.003
20170516,-0.03,0.16,-0.09,0.003
20170517,-1.97,-0.89,-0.53,0.003
20170518,0.4,0.05,-0.4,0.003
20170519,0.7,-0.37,0.41,0.003
20170522,0.56,0.28,-0.31,0.003
20170523,0.18,-0.09,0.61,0.003
20170524,0.24,-0.15,-0.49,0.003
20170525,0.42,-0.28,-0.77,0.003
20170526,0.06,-0.02,0.09,0.003
20170530,-0.19,-0.5,-0.32,0.003
20170531,-0.02,0.02,-0.56,0.003
20170601,0.95,0.98,0.04,0.003
20170602,0.35,0.54,-0.8,0.003
20170605,-0.17,-0.45,0,0.003
20170606,-0.28,0.1,-0.07,0.003
20170607,0.15,-0.19,0.02,0.003
20170608,0.18,1.16,0.92,0.003
20170609,-0.12,0.02,2.39,0.003
20170612,-0.11,-0.27,0.35,0.003
20170613,0.55,0.09,-0.14,0.003
20170614,-0.17,-0.47,-0.55,0.003
20170615,-0.3,-0.24,-0.12,0.003
20170616,-0.03,-0.22,-0.18,0.003
20170619,0.86,0.11,-0.75,0.003
20170620,-0.73,-0.4,-0.51,0.003
20170621,-0.07,-0.05,-1.69,0.003
20170622,0.02,0.52,-0.42,0.003
20170623,0.24,0.83,-0.5,0.003
20170626,0.04,-0.06,0.69,0.003
20170627,-0.85,-0.39,1.33,0.003
20170628,1.02,0.74,0.21,0.003
20170629,-0.83,-0.1,1.38,0.003
20170630,0.14,-0.09,-0.24,0.003
20170703,0.24,0.35,1.21,0.004
20170705,0.12,-0.7,-0.57,0.004
20170706,-0.95,-0.5,0.12,0.004
20170707,0.7,0.42,-0.41,0.004
20170710,0.05,-0.43,-0.09,0.004
20170711,0,0.38,-0.53,0.004
20170712,0.72,0.12,-0.53,0.004
20170713,0.17,-0.06,0.36,0.004
20170714,0.42,-0.13,-0.51,0.004
20170717,0,0.21,0.13,0.004
20170718,0.04,-0.3,-0.33,0.004
20170719,0.59,0.53,0.03,0.004
20170720,-0.01,0.05,-0.01,0.004
20170721,-0.08,-0.42,-0.28,0.004
20170724,-0.03,0.12,-0.2,0.004
20170725,0.38,0.37,0.92,0.004
20170726,-0.06,-0.35,-0.7,0.004
20170727,-0.14,-0.62,0.45,0.004
20170728,-0.17,-0.06,0.24,0.004
20170731,-0.11,-0.33,0.44,0.004
20170801,0.24,-0.24,0.18,0.004
20170802,-0.08,-1.17,0.15,0.004
20170803,-0.21,-0.34,-0.29,0.004
20170804,0.25,0.31,0.36,0.004
20170807,0.16,-0.09,-0.61,0.004
20170808,-0.24,-0.09,0.21,0.004
20170809,-0.14,-0.76,-0.1,0.004
20170810,-1.49,-0.3,0.26,0.004
20170811,0.2,0.24,-0.88,0.004
20170814,1.03,0.26,0.06,0.004
20170815,-0.11,-0.85,-0.04,0.004
20170816,0.18,-0.13,-0.45,0.004
20170817,-1.59,-0.16,-0.15,0.004
20170818,-0.15,0.14,0.21,0.004
20170821,0.06,-0.26,-0.22,0.004
20170822,1.06,-0.01,-0.25,0.004
20170823,-0.32,0.11,0.4,0.004
20170824,-0.14,0.59,0.18,0.004
20170825,0.18,0.12,0.58,0.004
20170828,0.08,0.35,-0.74,0.004
20170829,0.1,0.13,-0.39,0.004
20170830,0.53,0.02,-0.32,0.004
20170831,0.62,0.48,-0.42,0.004
20170901,0.27,0.41,0.44,0.005
20170905,-0.81,0.11,-0.95,0.005
20170906,0.28,-0.03,0.13,0.005
20170907,-0.07,0.15,-0.93,0.005
20170908,-0.16,0.03,0.36,0.005
20170911,1.08,-0.12,0.63,0.005
20170912,0.43,0.25,0.71,0.005
20170913,0.11,0.31,0.36,0.005
20170914,-0.12,-0.04,-0.07,0.005
20170915,0.19,0.28,0.12,0.005
20170918,0.24,0.38,0.2,0.005
20170919,0.15,-0.28,0.35,0.005
20170920,0.16,0.23,0.52,0.005
20170921,-0.28,0.11,0.37,0.005
20170922,0.12,0.44,0.12,0.005
20170925,-0.25,0.32,0.63,0.005
20170926,0.05,0.39,0.13,0.005
20170927,0.63,1.38,0.17,0.005
20170928,0.13,0.16,-0.07,0.005
20170929,0.35,-0.12,-0.28,0.005
20171002,0.5,0.84,0.16,0.004
20171003,0.26,-0.03,-0.02,0.004
20171004,0.05,-0.28,-0.45,0.004
20171005,0.55,-0.34,0.35,0.004
20171006,-0.08,-0.08,-0.25,0.004
20171009,-0.22,-0.28,-0.05,0.004
20171010,0.24,-0.01,0.41,0.004
20171011,0.16,-0.2,-0.22,0.004
20171012,-0.18,0.04,-0.51,0.004
20171013,0.04,-0.22,0.11,0.004
20171016,0.17,-0.28,0.37,0.004
20171017,0.01,-0.32,-0.27,0.004
20171018,0.14,0.3,0.21,0.004
20171019,0.02,-0.38,0.17,0.004
20171020,0.57,-0.07,0.28,0.004
20171023,-0.45,-0.42,0.12,0.004
20171024,0.2,-0.18,0.47,0.004
20171025,-0.51,-0.01,0.11,0.004
20171026,0.2,0.05,0.23,0.004
20171027,0.82,-0.03,-1.02,0.004
20171030,-0.46,-0.79,-0.06,0.004
20171031,0.23,0.81,-0.22,0.004
20171101,0.05,-0.79,0.15,0.004
20171102,0.06,-0.04,0.49,0.004
20171103,0.31,-0.42,-0.7,0.004
20171106,0.06,0.21,0.19,0.004
20171107,-0.2,-1.35,-0.37,0.004
20171108,0.12,0.06,-0.62,0.004
20171109,-0.41,-0.02,0.22,0.004
20171110,0.01,0.05,-0.38,0.004
20171113,0.09,-0.3,0.02,0.004
20171114,-0.22,-0.13,0,0.004
20171115,-0.52,-0.05,0.24,0.004
20171116,1.01,0.85,-0.52,0.004
20171117,-0.14,0.75,0.29,0.004
20171120,0.21,0.56,0,0.004
20171121,0.67,0.4,-0.35,0.004
20171122,-0.05,0.11,-0.03,0.004
20171124,0.21,0.02,-0.45,0.004
20171127,-0.06,-0.37,0.03,0.004
20171128,1.06,0.39,0.86,0.004
20171129,0.02,0.04,1.44,0.004
20171130,0.82,-0.56,-0.51,0.004
20171201,-0.22,-0.37,0.37,0.004
20171204,-0.1,-0.35,1.23,0.004
20171205,-0.43,-0.43,-0.24,0.004
20171206,-0.09,-0.46,-0.52,0.004
20171207,0.42,0.26,-0.17,0.004
20171208,0.51,-0.43,-0.13,0.004
20171211,0.26,-0.4,-0.14,0.004
20171212,0.07,-0.54,0.52,0.004
20171213,0.02,0.71,-0.88,0.004
20171214,-0.47,-0.69,-0.21,0.004
20171215,0.92,0.68,0.03,0.004
20171218,0.67,0.75,0.26,0.004
20171219,-0.3,-0.36,-0.26,0.004
20171220,0.01,0.36,0.05,0.004
20171221,0.24,0.27,0.63,0.004
20171222,-0.07,-0.23,-0.2,0.004
20171226,-0.07,0.34,-0.06,0.004
20171227,0.05,-0.13,-0.19,0.004
20171228,0.22,0.12,0.04,0.004
20171229,-0.57,-0.3,0.02,0.004
20180102,0.85,0.36,-0.22,0.005
20180103,0.59,-0.39,-0.21,0.005
20180104,0.42,-0.26,0.24,0.005
20180105,0.66,-0.34,-0.27,0.005
20180108,0.19,-0.16,0.07,0.005
20180109,0.15,-0.36,-0.02,0.005
20180110,-0.07,0.07,0.58,0.005
20180111,0.87,1.16,0.29,0.005
20180112,0.66,-0.3,0.17,0.005
20180116,-0.49,-1.02,-0.02,0.005
20180117,0.95,-0.02,-0.15,0.005
20180118,-0.18,-0.5,-0.25,0.005
20180119,0.57,0.94,-0.07,0.005
20180122,0.77,-0.34,-0.14,0.005
20180123,0.22,0.14,-0.33,0.005
20180124,-0.13,-0.79,0.39,0.005
20180125,0.07,0.17,-0.49,0.005
20180126,1.11,-0.62,-0.5,0.005
20180129,-0.62,-0.03,-0.26,0.005
20180130,-1.06,0.11,-0.17,0.005
20180131,-0.07,-0.72,0.06,0.005
20180201,0.03,0.1,0.5,0.006
20180202,-2.13,0.03,-0.27,0.006
20180205,-4.03,0.77,-0.56,0.006
20180206,1.67,-0.51,-0.23,0.006
20180207,-0.37,0.5,0.26,0.006
20180208,-3.67,0.82,0.48,0.006
20180209,1.36,-0.62,0.11,0.006
20180212,1.36,-0.44,-0.29,0.006
20180213,0.31,0.05,-0.23,0.006
20180214,1.52,0.27,0.46,0.006
20180215,1.21,-0.13,-0.65,0.006
20180216,0.03,0.35,0.13,0.006
20180220,-0.62,-0.35,-0.25,0.006
20180221,-0.43,0.77,0.2,0.006
20180222,0.01,0.04,-0.39,0.006
20180223,1.54,-0.36,-0.14,0.006
20180226,1.12,-0.48,-0.07,0.006
20180227,-1.25,-0.2,0.01,0.006
20180228,-1.1,-0.41,-0.31,0.006
20180301,-1.18,1.02,-0.04,0.006
20180302,0.7,1.16,-0.5,0.006
20180305,1.06,-0.39,0.25,0.006
20180306,0.36,0.67,0.1,0.006
20180307,0.05,0.8,-0.45,0.006
20180308,0.37,-0.49,-0.33,0.006
20180309,1.7,-0.27,0.28,0.006
20180312,-0.09,0.46,-0.06,0.006
20180313,-0.67,0.09,0,0.006
20180314,-0.53,0.23,-0.54,0.006
20180315,-0.18,-0.41,0.31,0.006
20180316,0.25,0.46,0.2,0.006
20180319,-1.38,0.34,0.41,0.006
20180320,0.15,-0.07,-0.38,0.006
20180321,-0.06,0.76,0.45,0.006
20180322,-2.54,0.5,-0.46,0.006
20180323,-2.09,0.21,-0.2,0.006
20180326,2.67,-0.7,0.02,0.006
20180327,-1.87,-0.25,0.4,0.006
20180328,-0.35,0.11,0.65,0.006
20180329,1.41,-0.29,-0.21,0.006
20180402,-2.29,-0.14,0.39,0.007
20180403,1.24,-0.05,0.17,0.007
20180404,1.17,0.32,-0.32,0.007
20180405,0.75,0.03,0.48,0.007
20180406,-2.19,0.4,-0.06,0.007
20180409,0.3,-0.15,-0.5,0.007
20180410,1.77,0.4,-0.12,0.007
20180411,-0.49,0.92,-0.31,0.007
20180412,0.84,-0.22,0.19,0.007
20180413,-0.37,0.02,-0.25,0.007
20180416,0.82,0.08,-0.04,0.007
20180417,1.09,0.16,-1.18,0.007
20180418,0.13,0.24,0.01,0.007
20180419,-0.49,-0.46,1.08,0.007
20180420,-0.81,0.06,0.62,0.007
20180423,-0.05,-0.08,0.2,0.007
20180424,-1.3,0.52,0.98,0.007
20180425,0.1,-0.33,0.01,0.007
20180426,0.96,-0.4,-0.85,0.007
20180427,0.01,-0.27,0.07,0.007
20180430,-0.8,0.04,-0.07,0.007
20180501,0.24,0.22,-0.53,0.006
20180502,-0.63,1.26,-0.28,0.006
20180503,-0.25,-0.5,-0.17,0.006
20180504,1.3,0.03,-0.23,0.006
20180507,0.42,0.42,-0.36,0.006
20180508,0.07,0.47,0.26,0.006
20180509,0.89,-0.2,0.24,0.006
20180510,0.84,-0.43,-0.04,0.006
20180511,0.19,0.11,-0.37,0.006
20180514,0.05,-0.35,0.12,0.006
20180515,-0.55,0.68,0.41,0.006
20180516,0.49,0.7,-0.24,0.006
20180517,0.02,0.9,0.25,0.006
20180518,-0.23,0.57,-0.58,0.006
20180521,0.72,-0.21,0.44,0.006
20180522,-0.42,-0.76,0.59,0.006
20180523,0.29,0.05,-0.72,0.006
20180524,-0.16,0.34,-0.31,0.006
20180525,-0.21,0.22,-0.4,0.006
20180529,-1.03,1.32,-1.03,0.006
20180530,1.31,0.07,0.35,0.006
20180531,-0.7,0.08,-0.4,0.006
20180601,1.06,-0.22,-0.13,0.006
20180604,0.48,0.16,-0.46,0.006
20180605,0.16,0.82,-0.41,0.006
20180606,0.86,-0.33,0.17,0.006
20180607,-0.14,-0.29,0.92,0.006
20180608,0.31,0.08,-0.4,0.006
20180611,0.12,0.18,-0.16,0.006
20180612,0.23,0.24,-0.61,0.006
20180613,-0.33,0.1,-0.21,0.006
20180614,0.27,0.32,-0.99,0.006
20180615,-0.08,0.03,-0.25,0.006
20180618,-0.09,0.74,0.09,0.006
20180619,-0.38,0.55,-0.18,0.006
20180620,0.23,0.73,-0.52,0.006
20180621,-0.73,-0.63,0.32,0.006
20180622,0.11,0.02,0.44,0.006
20180625,-1.48,-0.57,0.56,0.006
20180626,0.27,0.61,-0.2,0.006
20180627,-1.02,-0.99,0.39,0.006
20180628,0.58,-0.18,-0.51,0.006
20180629,0.07,-0.19,-0.24,0.006
20180702,0.36,0.44,-0.35,0.008
20180703,-0.44,0.77,0.08,0.008
20180705,0.87,0.42,-0.4,0.008
20180706,0.87,0.08,-0.37,0.008
20180709,0.93,-0.37,0.77,0.008
20180710,0.21,-0.81,-0.08,0.008
20180711,-0.69,-0.01,-0.52,0.008
20180712,0.86,-0.32,-1.09,0.008
20180713,0.08,-0.12,-0.28,0.008
20180716,-0.16,-0.74,0.84,0.008
20180717,0.48,0.24,-0.69,0.008
20180718,0.27,-0.25,0.6,0.008
20180719,-0.34,0.97,-0.37,0.008
20180720,-0.1,-0.16,0.08,0.008
20180723,0.15,-0.25,0.37,0.008
20180724,0.22,-1.38,0.52,0.008
20180725,0.83,-0.39,-1.21,0.008
20180726,-0.2,0.63,0.61,0.008
20180727,-0.82,-1.37,1.15,0.008
20180730,-0.7,-0.25,1.67,0.008
20180731,0.51,0.77,-0.96,0.008
20180801,-0.13,0.09,-0.3,0.007
20180802,0.67,0.36,-0.73,0.007
20180803,0.31,-1.06,0.56,0.007
20180806,0.46,0.26,-0.33,0.007
20180807,0.29,0,-0.14,0.007
20180808,-0.04,-0.13,0.22,0.007
20180809,-0.05,0.35,-0.32,0.007
20180810,-0.6,0.43,-0.23,0.007
20180813,-0.46,-0.16,-0.31,0.007
20180814,0.69,0.3,0.23,0.007
20180815,-0.91,-0.57,-0.11,0.007
20180816,0.86,-0.08,0.27,0.007
20180817,0.3,0.08,0.04,0.007
20180820,0.25,0.12,0.18,0.007
20180821,0.33,0.87,0.14,0.007
20180822,0.05,0.41,-0.46,0.007
20180823,-0.19,-0.06,-0.32,0.007
20180824,0.62,-0.04,-0.51,0.007
20180827,0.74,-0.69,-0.11,0.007
20180828,-0.01,-0.12,-0.29,0.007
20180829,0.56,-0.04,-0.59,0.007
20180830,-0.41,0.3,-0.43,0.007
20180831,0.08,0.49,-0.43,0.007
20180904,-0.11,-0.34,-0.08,0.008
